species,plot,treatment,plantnumber,leaf1i,leaf1f,leaf2i,leaf2f,leaf3i,leaf3f,leaf4i,leaf4f,leaf5i,leaf5f,height,meaninsect,meanfungal
Panvi,95,I,2,0,8,5,6,,,,,,,116,2.5,7
Panvi,95,I,3,1,20,0,4,0,0,0,2,0,0,391,0.2,5.2
Panvi,95,I,4,0,3,0,0,0,6,0,2,4,4,390,0.8,3
Panvi,95,I,5,2,5,0,1,0,1,20,5,0,0,399,4.4,2.4
Panvi,95,I,6,0,3,40,9,0,7,,,,,332,13.33333333,6.333333333
Asctu,96,C,1,100,0,100,0,100,0,,,,,40,100,0
Asctu,96,C,3,38,0,1,0,3,0,0,0,5,2,129,9.4,0.4
Asctu,96,C,5,0,0,0,0,0,0,2,0,6,0,94,1.6,0
Asctu,96,C,6,4,0,4,0,0,0,6,0,0,0,121,2.8,0
Achmi,97,C,5,10,4,1,2,15,0,0,5,9,3,42,7,2.8
Rudhi,98,IF,2,5,0,0,0,3,2,0,0,0,0,51,1.6,0.4
Rudhi,98,IF,3,12,3,4,0,0,0,0,0,,,49,4,0.75
Rudhi,98,IF,4,0,2,2,3,5,0,0,0,2,0,36,1.8,1
Rudhi,98,IF,5,9,0,0,0,0,0,4,0,6,10,54,3.8,2
Bougr,99,C,1,1,2,1,1,0,0,0,1,35,0,134,7.4,0.8
Bougr,99,C,3,0,0,0,0,0,3,0,0,1,2,153,0.2,1
Bougr,99,C,4,22,0,50,0,15,4,60,0,35,0,113,36.4,0.8
Bougr,99,C,5,4,0,0,4,45,0,0,0,0,2,124,9.8,1.2
Bougr,99,C,6,0,1,10,1,0,9,4,0,8,0,140,4.4,2.2
Panvi,100,I,1,0,10,0,2,0,0,0,0,0,1,297,0,2.6
Panvi,100,I,2,0,5,0,1,0,3,0,4,0,15,165,0,5.6
Panvi,100,I,3,2,8,0,25,0,6,0,0,0,1,383,0.4,8
Panvi,100,I,4,0,4,0,0,0,3,,,,,233,0,2.333333333
Panvi,100,I,5,0,6,0,7,0,2,0,0,,,427,0,3.75
Panvi,100,I,6,5,6,0,30,0,2,0,2,0,1,508,1,8.2
Achmi,101,I,1,3,0,1,3,2,0,0,0,20,0,54,5.2,0.6
Achmi,101,I,3,5,0,3,0,1,2,20,0,0,0,36,5.8,0.4
Achmi,101,I,4,12,2,0,0,0,0,0,0,55,10,46,13.4,2.4
Achmi,101,I,5,4,0,65,0,20,2,30,0,0,0,43,23.8,0.4
Achmi,101,I,6,0,0,8,0,78,0,,,,,39,28.66666667,0
Achmi,102,IF,1,30,0,0,0,12,0,0,0,0,0,49,8.4,0
Achmi,102,IF,2,7,0,0,0,0,0,,,,,35,2.333333333,0
Achmi,102,IF,5,85,1,75,0,3,0,40,0,,,42,50.75,0.25
Achmi,102,IF,6,2,0,0,0,0,0,0,0,1,0,55,0.6,0
Agafo,103,C,2,40,0,17,0,50,0,0,0,15,0,47,24.4,0
Agafo,103,C,3,3,0,20,0,15,0,10,0,5,0,69,10.6,0
Agafo,103,C,4,36,2,0,1,3,0,1,2,0,0,63,8,1
Rudhi,104,C,4,78,10,,,,,,,,,19,78,10
Rudhi,104,C,5,0,0,35,3,0,1,16,0,,,34,12.75,1
Rudhi,104,C,6,3,0,2,0,4,0,0,0,,,75,2.25,0
Liaas,105,I,2,0,0,0,0,1,0,,,,,24,0.333333333,0
Bougr,106,C,4,22,0,0,1,,,,,,,13,11,0.5
Bougr,106,C,6,0,4,0,15,60,2,0,1,0,2,91,12,4.8
Rudhi,107,C,2,5,0,0,3,0,1,,,,,53,1.666666667,1.333333333
Rudhi,107,C,3,4,1,43,20,50,0,0,0,,,52,24.25,5.25
Rudhi,107,C,6,0,0,23,0,2,0,0,0,,,38,6.25,0
Asctu,109,I,1,0,0,0,0,0,1,1,0,0,0,92,0.2,0.2
Asctu,109,I,3,0,1,0,0,0,0,2,0,0,0,96,0.4,0.2
Asctu,109,I,4,3,0,0,0,8,0,0,0,0,0,55,2.2,0
Asctu,109,I,5,0,0,0,0,0,0,0,0,0,0,26,0,0
Asctu,109,I,6,0,4,2,0,0,5,2,0,0,0,97,0.8,1.8
Spohe,110,IF,1,5,0,2,0,,,,,,,32,3.5,0
Panvi,111,C,1,2,2,0,3,0,3,,,,,161,0.666666667,2.666666667
Panvi,111,C,2,1,2,55,0,1,2,,,,,47,19,1.333333333
Panvi,111,C,4,2,10,1,40,0,0,0,0,,,330,0.75,12.5
Panvi,111,C,5,0,2,3,3,,,,,,,60,1.5,2.5
Panvi,111,C,6,0,0,40,1,0,0,3,0,,,175,10.75,0.25
Panvi,112,IF,1,0,0,0,3,0,10,0,0,1,0,379,0.2,2.6
Panvi,112,IF,2,0,0,55,0,,,,,,,59,27.5,0
Panvi,112,IF,3,1,1,0,0,0,0,,,,,139,0.333333333,0.333333333
Panvi,112,IF,4,1,0,0,0,2,3,4,1,0,0,102,1.4,0.8
Panvi,112,IF,5,0,2,0,0,0,0,1,1,0,0,116,0.2,0.6
Panvi,112,IF,6,0,2,0,2,0,0,0,0,,,340,0,1
Boucu,113,C,1,1,0,35,0,40,0,0,0,65,4,36,28.2,0.8
Boucu,113,C,3,0,6,2,1,1,2,1,2,0,0,195,0.8,2.2
Boucu,113,C,5,4,0,0,10,0,0,0,1,0,0,236,0.8,2.2
Agafo,114,I,2,2,8,1,0,0,0,0,0,0,0,24,0.6,1.6
Agafo,114,I,3,0,0,0,0,4,0,0,0,0,0,43,0.8,0
Agafo,114,I,4,0,1,5,0,0,2,0,2,0,1,58,1,1.2
Agafo,115,IF,4,2,1,0,5,0,1,0,2,0,0,25,0.4,1.8
Agafo,115,IF,6,0,0,0,0,6,0,2,1,2,0,47,2,0.2
Rudhi,116,I,1,0,0,0,1,0,2,38,0,0,0,41,7.6,0.6
Rudhi,116,I,2,0,1,0,0,2,0,,,,,51,0.666666667,0.333333333
Rudhi,116,I,3,0,0,8,0,0,0,0,1,0,0,76,1.6,0.2
Rudhi,116,I,4,0,0,12,0,18,5,0,0,,,39,7.5,1.25
Rudhi,116,I,5,2,0,0,0,0,0,1,1,2,1,77,1,0.4
Bougr,117,IF,1,0,0,0,0,0,0,0,0,0,0,98,0,0
Bougr,117,IF,2,0,1,0,0,0,0,0,0,0,0,191,0,0.2
Bougr,117,IF,3,0,0,0,0,0,0,0,0,0,0,360,0,0
Bougr,117,IF,4,0,0,0,2,0,0,0,0,2,1,212,0.4,0.6
Bougr,117,IF,6,0,0,0,0,0,0,0,0,0,0,145,0,0
Sornu,118,I,1,0,0,0,0,0,2,0,5,0,15,347,0,4.4
Sornu,118,I,2,0,1,0,4,0,2,0,4,0,2,340,0,2.6
Sornu,118,I,3,0,2,40,3,,,,,,,159,20,2.5
Sornu,118,I,4,0,3,0,0,0,7,0,2,0,4,121,0,3.2
Spohe,119,I,2,0,0,0,0,0,1,0,0,0,0,109,0,0.2
Achmi,120,I,1,0,0,3,0,50,3,0,0,0,0,70,10.6,0.6
Achmi,120,I,3,0,0,0,0,0,0,0,0,65,0,56,13,0
Achmi,120,I,4,4,0,1,20,6,0,0,60,48,0,49,11.8,16
Achmi,120,I,5,58,0,35,0,,,,,,,28,46.5,0
Muhra,122,I,1,0,0,0,0,0,6,0,0,0,1,235,0,1.4
Muhra,122,I,2,0,0,0,3,0,1,0,0,,,215,0,1
Muhra,122,I,3,0,0,0,1,0,0,1,2,0,0,231,0.2,0.6
Muhra,122,I,4,0,5,0,0,0,10,0,8,0,0,239,0,4.6
Muhra,122,I,5,0,0,0,1,0,13,0,1,0,1,190,0,3.2
Muhra,122,I,6,0,1,0,3,0,6,0,4,1,2,254,0.2,3.2
Schsc,123,C,1,0,0,0,4,0,0,35,1,8,3,135,8.6,1.6
Schsc,123,C,2,0,0,2,4,0,15,30,0,0,0,149,6.4,3.8
Schsc,123,C,3,0,0,1,0,20,0,0,0,15,0,138,7.2,0
Schsc,123,C,4,8,2,2,1,0,0,5,1,0,0,98,3,0.8
Schsc,123,C,5,1,2,0,0,0,1,0,0,16,0,133,3.4,0.6
Schsc,123,C,6,0,18,0,0,0,0,0,0,0,30,137,0,9.6
Rudhi,124,C,1,46,2,23,1,8,0,0,0,,,47,19.25,0.75
Rudhi,124,C,3,0,0,58,0,25,3,,,,,12,27.66666667,1
Rudhi,124,C,6,4,0,2,0,1,0,8,20,,,52,3.75,5
Astaz,125,C,3,23,0,20,0,9,0,28,0,13,0,53,18.6,0
Astaz,125,C,4,38,5,0,2,,,,,,,14,19,3.5
Schsc,127,I,1,0,2,0,4,0,0,2,4,,,236,0.5,2.5
Schsc,127,I,2,0,3,0,1,0,0,0,2,0,0,215,0,1.2
Schsc,127,I,3,0,4,0,3,0,0,0,4,0,2,118,0,2.6
Schsc,127,I,4,0,0,2,3,1,0,0,0,0,1,130,0.6,0.8
Schsc,127,I,5,0,0,0,0,0,7,2,14,0,0,159,0.4,4.2
Schsc,127,I,6,0,5,0,0,1,2,0,0,0,0,182,0.2,1.4
Agafo,128,IF,1,0,0,9,0,16,2,10,0,,,20,8.75,0.5
Agafo,128,IF,3,4,2,0,0,0,0,0,1,40,2,62,8.8,1
Agafo,128,IF,4,0,0,45,0,1,0,,,,,39,15.33333333,0
Agafo,128,IF,6,33,0,2,3,0,0,20,0,,,26,13.75,0.75
Boucu,129,IF,4,1,2,5,0,0,0,0,2,,,51,1.5,1
Boucu,129,IF,5,1,0,0,0,0,0,0,0,0,1,82,0.2,0.2
Andge,130,IF,1,1,0,0,2,0,0,0,1,0,0,255,0.2,0.6
Andge,130,IF,2,0,1,0,0,0,0,0,0,,,187,0,0.25
Andge,130,IF,3,3,0,0,0,1,0,0,2,,,306,1,0.5
Andge,130,IF,4,0,0,0,0,0,0,0,2,0,0,231,0,0.4
Andge,130,IF,5,0,0,0,0,0,1,2,1,,,208,0.5,0.5
Andge,130,IF,6,0,6,0,0,0,0,0,1,0,0,192,0,1.4
Sornu,132,IF,1,0,0,0,1,0,1,0,1,0,0,232,0,0.6
Sornu,132,IF,2,1,1,0,4,0,1,0,2,4,1,172,1,1.8
Sornu,132,IF,3,0,0,0,0,0,0,0,0,0,0,199,0,0
Sornu,132,IF,4,0,3,0,0,0,0,0,0,10,0,243,2,0.6
Ascsy,133,IF,2,1,2,0,0,0,0,0,0,0,0,56,0.2,0.4
Boucu,135,C,2,0,3,12,0,8,3,0,1,0,0,80,4,1.4
Boucu,135,C,3,0,0,40,0,5,0,0,4,,,49,11.25,1
Boucu,135,C,4,3,0,2,0,0,0,0,0,0,1,148,1,0.2
Boucu,135,C,5,2,3,0,3,1,9,0,0,35,0,169,7.6,3
Achmi,136,I,1,0,0,3,0,0,0,0,0,5,1,43,1.6,0.2
Achmi,136,I,2,0,0,0,0,4,0,1,0,,,39,1.25,0
Achmi,136,I,3,30,0,0,0,1,0,0,0,0,0,53,6.2,0
Achmi,136,I,5,0,0,0,0,15,10,3,0,22,0,64,8,2
Achmi,136,I,6,2,4,,,,,,,,,23,2,4
Agafo,137,C,1,4,0,1,0,0,0,45,0,20,2,15,14,0.4
Agafo,137,C,3,9,4,3,2,10,30,15,1,2,8,40,7.8,9
Agafo,137,C,4,12,0,9,2,0,2,15,0,0,0,62,7.2,0.8
Boucu,139,I,1,0,4,0,2,0,3,0,0,0,0,164,0,1.8
Boucu,139,I,2,0,0,0,3,0,17,,,,,200,0,6.666666667
Boucu,139,I,3,0,1,3,4,0,1,0,18,0,1,152,0.6,5
Boucu,139,I,4,0,5,0,1,0,0,1,3,0,0,179,0.2,1.8
Rudhi,140,IF,1,3,0,0,1,0,0,3,1,0,0,32,1.2,0.4
Rudhi,140,IF,3,0,0,10,0,15,0,0,0,0,0,32,5,0
Rudhi,140,IF,4,40,0,0,0,38,0,0,0,,,16,19.5,0
Rudhi,140,IF,5,0,0,0,0,3,0,,,,,40,1,0
Rudhi,140,IF,6,0,0,0,0,3,0,0,0,0,0,23,0.6,0
Panvi,141,C,1,6,2,14,3,2,1,0,1,0,1,232,4.4,1.6
Panvi,141,C,2,4,4,1,3,1,0,5,6,0,0,115,2.2,2.6
Panvi,141,C,3,0,5,50,0,,,,,,,65,25,2.5
Panvi,141,C,4,4,3,1,3,0,0,5,2,0,10,244,2,3.6
Panvi,141,C,5,12,18,0,0,0,3,,,,,407,4,7
Panvi,141,C,6,0,2,5,4,0,2,,,,,261,1.666666667,2.666666667
Andge,143,C,1,0,0,0,2,0,1,0,1,20,3,131,4,1.4
Andge,143,C,4,0,5,0,0,0,3,,,,,166,0,2.666666667
Andge,143,C,6,0,6,0,1,0,0,,,,,120,0,2.333333333
Achmi,144,IF,2,2,4,0,0,0,0,0,0,,,50,0.5,1
Achmi,144,IF,3,2,0,0,0,1,0,,,,,44,1,0
Achmi,144,IF,4,0,0,0,0,0,0,,,,,57,0,0
Achmi,144,IF,5,80,0,0,0,85,0,0,0,15,0,40,36,0
Achmi,144,IF,6,2,0,0,0,0,0,0,1,,,17,0.5,0.25
